Team,Nexus Being,Rank,Position,Primary Type,PositionFull,NB ID
T001,Rogue,Field Leader,FL,Physical Combatants (PC),Field Leader,ROGUE-121
T001,Domino,Operations,RG,Physical Combatants (PC),Ranger,DOMINO-047
T001,Magik,Operations,VG,Mystic Adept (MA),Vanguard,MAGIK-090
T001,Colossus,Ops./Intel,RG,Physical Combatants (PC),Enforcer,COLOSSUS-032
T001,Gambit,Ops./Intel,VG,Physical Combatants (PC),Ghost Operative,GAMBIT-057
T001,Doctor Strange,Ops./Intel,GO,Mystic Adept (MA),Psi Operative,DOCTOR-STRANGE-046
T001,Emma Frost,Intelligence,PO,Mental Manipulators (MM),Sovereign,EMMA-FROST-052
T001,Jean Grey (Phoenix),Sovereign,SV,Mental Manipulators (MM),,JEAN-GREY-(PHOENIX)-078
T001,Hawkeye,Bench,Bench,Physical Combatants (PC),,HAWKEYE-067
T001,Quicksilver,Bench,Bench,Strategy & Espionage (SE),,QUICKSILVER-118
T001,Shang-Chi,Bench,Bench,Physical Combatants (PC),,SHANG-CHI-126
T001,Venom,Bench,Bench,Physical Combatants (PC),,VENOM-157
T002,Iron Man,Field Leader,FL,Technological & Cybernetic (TC),,IRON-MAN-076
T002,Nova,Operations,RG,Cosmic & Reality (CR),,NOVA-110
T002,Spider-Man (Parker),Operations,VG,Physical Combatants (PC),,SPIDER-MAN-(PARKER)-133
T002,Super-Skrull,Ops./Intel,RG,Physical Combatants (PC),,SUPER-SKRULL-141
T002,Brawn (Totally Awesome Hulk),Ops./Intel,VG,Physical Combatants (PC),,BRAWN-(TOTALLY-AWESOME-HULK)-021
T002,The Wasp,Ops./Intel,GO,Technological & Cybernetic (TC),,THE-WASP-151
T002,Forge,Intelligence,PO,Technological & Cybernetic (TC),,FORGE-056
T002,Hulkling (Teddy Altman),Sovereign,SV,Cosmic & Reality (CR),,HULKLING-(TEDDY-ALTMAN)-070
T002,Brother Voodoo,Bench,Bench,Mystic Adept (MA),,BROTHER-VOODOO-022
T002,Invisible Woman,Bench,Bench,Mystic Adept (MA),,INVISIBLE-WOMAN-074
T002,Punisher,Bench,Bench,Physical Combatants (PC),,PUNISHER-149
T002,Wiccan,Bench,Bench,Mystic Adept (MA),,WICCAN-161
T003,Synch,Field Leader,FL,Physical Combatants (PC),,SYNCH-142
T003,Bishop,Operations,RG,Physical Combatants (PC),,BISHOP-011
T003,Magneto,Operations,VG,Mental Manipulators (MM),,MAGNETO-091
T003,Hulk,Ops./Intel,RG,Physical Combatants (PC),,HULK-069
T003,Carnage,Ops./Intel,VG,Physical Combatants (PC),,CARNAGE-029
